provincia,canton,poblacion,natalidad,mortalidad,nupcialidad
SAN JOSE,SAN JOSE,32815,5238,1833,3641
SAN JOSE,ESCAZU,65201,945,308,418
SAN JOSE,DESAMPARADOS ,228142,3221,1002,935
SAN JOSE,PURISCAL ,35399,385,170,152
SAN JOSE,TARRAZU,17473,258,54,67
SAN JOSE,ASERRI ,59425,842,232,202
SAN JOSE,MORA ,28384,387,120,111
SAN JOSE,GOICOECHEA ,129514,1603,598,625
SAN JOSE,SANTA ANA,54891,785,212,497
SAN JOSE,ALAJUELITA ,85047,1225,324,288
SAN JOSE,VAZQUEZ DE CORONADO ,66309,897,265,246
SAN JOSE,ACOSTA ,20729,269,93,59
SAN JOSE,TIBAS ,79994,1036,418,256
SAN JOSE,MORAVIA,59705,595,272,294
SAN JOSE,MONTES DE OCA ,60706,557,296,325
SAN JOSE,TURRUBARES ,6256,67,19,12
SAN JOSE,DOTA ,7538,128,45,38
SAN JOSE,CURRIDABAT,74819,987,261,265
SAN JOSE,PEREZ ZELEDON,140699,1988,590,828
SAN JOSE,LEON CORTES CASTRO ,12758,182,43,30
ALAJUELA,ALAJUELA,285259,4072,1173,1646
ALAJUELA,SAN RAMON,86312,1206,323,472
ALAJUELA,GRECIA,85087,1252,357,438
ALAJUELA,SAN MATEO,6630,52,32,20
ALAJUELA,ATENAS,27112,305,143,162
ALAJUELA,NARANJO,45005,599,202,195
ALAJUELA,PALMARES,37471,443,182,192
ALAJUELA,PO S,30650,417,116,136
ALAJUELA,OROTINA,21430,318,105,120
ALAJUELA,SAN CARLOS,178460,3324,538,947
ALAJUELA,ZARCERO,13215,215,57,81
ALAJUELA,VALVERDE VEGA,20466,215,62,106
ALAJUELA,UPALA,48910,919,147,183
ALAJUELA,LOS CHILES,28694,635,79,74
ALAJUELA,GUATUSO,17507,326,56,100
CARTAGO,CARTAGO,154822,2050,660,911
CARTAGO,PARAISO,59259,919,220,300
CARTAGO,LA UNION,103865,1302,390,344
CARTAGO,JIMENEZ,15928,233,55,49
CARTAGO,TURRIALBA,73064,1191,365,400
CARTAGO,ALVARADO,14589,191,56,53
CARTAGO,OREAMUNO,47081,652,195,138
CARTAGO,EL GUARCO,43415,629,141,135
HEREDIA,HEREDIA,131933,1800,557,921
HEREDIA,BARVA,42444,534,152,194
HEREDIA,SANTO DOMINGO,45619,490,240,217
HEREDIA,SANTA BARVARA,38596,500,148,152
HEREDIA,SAN RAFAEL,50332,665,177,361
HEREDIA,SAN ISIDRO,21433,293,103,127
HEREDIA,BELEN,24751,302,105,225
HEREDIA,FLORES,22781,323,98,145
HEREDIA,SAN PABLO,29590,323,112,112
HEREDIA,SARAPIQUI,68359,1071,208,256
GUANACASTE,LIBERIA,67463,1294,278,486
GUANACASTE,NICOYA,52606,753,279,238
GUANACASTE,SANTA CRUZ,60495,918,296,451
GUANACASTE,BAGACES,21567,297,84,85
GUANACASTE,CARRILLO,39731,735,179,380
GUANACASTE,CANAS,30015,483,137,143
GUANACASTE,ABANGARES,18895,283,98,63
GUANACASTE,TILARAN,20708,276,82,98
GUANACASTE,NANDAYURE,11453,154,47,37
GUANACASTE,LA CRUZ,23598,423,76,53
GUANACASTE,HOJANCHA,7623,88,22,27
PUNTARENAS,PUNTARENAS,126515,1944,593,687
PUNTARENAS,ESPARZA,34291,423,126,160
PUNTARENAS,BUENOS AIRES,48706,893,135,181
PUNTARENAS,MONTES DE ORO,13259,180,52,88
PUNTARENAS,OSA,29892,502,136,141
PUNTARENAS,QUEPOS,29569,537,104,107
PUNTARENAS,GOLFITO,42012,679,174,166
PUNTARENAS,COTO BRUS,43660,778,163,158
PUNTARENAS,PARRITA,17587,261,60,60
PUNTARENAS,CORREDORES,48307,757,201,226
PUNTARENAS,GARABITO,21473,415,67,218
LIMON,LIMON,97215,2164,464,539
LIMON,POCOCI,135611,2349,455,763
LIMON,SIQUIRRES,61516,1053,210,290
LIMON,TALAMANCA ,37430,927,121,161
LIMON,MATINA ,42352,822,136,110
LIMON,GUACIMO,48405,801,162,208